,method,batch_size,n_adapters,time
0,megablocks,4,6,9.283700346946716
1,peft,4,6,8.272603034973145
2,megablocks,4,18,8.701163172721863
3,peft,4,18,9.24186623096466
4,megablocks,4,66,8.796408534049988
5,peft,4,66,9.278573632240295
6,megablocks,16,6,9.052352666854858
7,peft,16,6,8.37292742729187
8,megablocks,16,18,8.93463921546936
9,peft,16,18,18.641531348228455
10,megablocks,16,66,8.853707194328308
11,peft,16,66,23.672703742980957
12,megablocks,64,6,11.774641394615173
13,peft,64,6,10.429649353027344
14,megablocks,64,18,11.852559566497803
15,peft,64,18,28.036928415298462
16,megablocks,64,66,11.611250877380371
17,peft,64,66,63.46929883956909
